name,street_address,postcode,city,url,business_type
Deutsch-Jüdisches Theater/Förderverein für deutsch-jüdische Theatervorstellungen e.V.,Grainauer Straße 20,10777,Berlin,https://helfen-shop.berlin/dein-unternehmen/deutsch-juedisches-theater-foerderverein-fuer-deutsch-juedische-theatervorstellungen-e-v/,restaurant
Bellealliance Restaurant,Mehringdamm 56,10961,Berlin,https://helfen-shop.berlin/dein-unternehmen/bellealliance-restaurant/,restaurant
vincent-burger,Tauroggener Str. 9,10589,Berlin,https://helfen-shop.berlin/dein-unternehmen/vincent-burger/,restaurant
Kokami,Sredzkistraße 54,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/kokami/,restaurant
dbeads,Elßholzstraße 5,10781,Berlin,https://helfen-shop.berlin/dein-unternehmen/dbeads/,restaurant
Baumann -Spezialhaus für Kirchenbedarf,Trautenaustr. 14,10717,Berlin,https://helfen-shop.berlin/dein-unternehmen/baumann-spezialhaus-fuer-kirchenbedarf/,restaurant
Foto-Faible,Morgensternstrasse 29,12207,Berlin,https://helfen-shop.berlin/dein-unternehmen/foto-faible/,restaurant
Kim’s Ha Restaurant,Kantstrasse 87,10627,Berlin,https://helfen-shop.berlin/dein-unternehmen/kims-ha-restaurant/,restaurant
Samer cafee,Gleimstr 44,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/samer-cafee/,restaurant
Roman’s Berlin,Schlüterstraße 44,10707,Berlin,https://helfen-shop.berlin/dein-unternehmen/romans-berlin/,restaurant
Restaurant Amera,Borussiastraße 62,12103,Berlin,https://helfen-shop.berlin/dein-unternehmen/restaurant-amera/,restaurant
Santomana,Schliemannstr 26,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/santomana-2/,restaurant
POPILUXE,Wilmersdorfer Str.107a,10629,Berlin,https://helfen-shop.berlin/dein-unternehmen/popiluxe/,restaurant
Studio 29,Geisbergstr 29,10777,Berlin,https://helfen-shop.berlin/dein-unternehmen/studio-29/,restaurant
stadt im ohr – Hörspiele zum Mitlaufen,Rudolfstraße 11,10245,Berlin,https://helfen-shop.berlin/dein-unternehmen/stadt-im-ohr-hoerspiele-zum-mitlaufen/,restaurant
Cafe Coconut,Danzigerstr. 142,10407,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-coconut/,restaurant
Cookies & Co,Senefelderstr. 4,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/cookies-co/,restaurant
Tilda – coffee eat sleep,Raumerstraße 7,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/tilda-coffee-eat-sleep/,restaurant
Monika Uecker Friseur,Düsseldorfer Str. 2,10719,Berlin,https://helfen-shop.berlin/dein-unternehmen/monika-uecker-friseur/,restaurant
Cafe Neundrei,Monbijouplatz 2,10178,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-neundrei/,restaurant
LichtMal/Zentrum für Freunde der Schwarz-Weiss-Fotografie e.V.,Kopenhagener Straße 14,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/lichtmal-zentrum-fuer-freunde-der-schwarz-weiss-fotografie-e-v/,restaurant
DaGiorgio’s,Grüntaler Str. 11,13357,Berlin,https://helfen-shop.berlin/dein-unternehmen/dagiorgios/,restaurant
Song Nguu,Am Falkplatz 5,10437,Berlin,https://helfen-shop.berlin/dein-unternehmen/song-nguu/,restaurant
Le Belfort,Kollwitzstr. 28,10405,Berlin,https://helfen-shop.berlin/dein-unternehmen/le-belfort/,restaurant
Café Schrittfahren,Chausseestraße 49,10115,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-schrittfahren/,restaurant
Café Desd,Schulzendorfer Strasse 13,13347,Berlin,https://helfen-shop.berlin/dein-unternehmen/cafe-desd/,restaurant
